Breed	Breed code	Breed code source	Synonyms	Country of Origin	Source of recognition status
Affenpinscher	CB1	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=1	Affen|Affie|Monkey Dog|Monkey Terrier	Germany, France	https://www.ukcdogs.com/affenpinscher
Afghan Hound	CB2	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=2	Afghan Hound|Tazi|Tazhi Spay, Da|Kochyano Spay, Sage|Balochi, Ogar Afgan|Barakzai Hound, Eastern|Greyhound/Persian|Greyhound	Afghanistan	https://www.ukcdogs.com/afghan-hound
Airedale Terrier	CB3	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=3	Airedale|King of Terriers|Waterside Terrier|Bingley Terrier	United Kingdom (England)	https://www.ukcdogs.com/airedale-terrier
Akita	CB4	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=4	Akita|Akita Inu|Akita Ken|Japanese Akita|American Akita|Great Japanese Dog	Japan	https://www.ukcdogs.com/akita
Alaskan Malamute	CB5	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=5	Mal|Mally|Alaskan Malamute	United States	https://www.ukcdogs.com/alaskan-malamute
American English Coonhound	CB6	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=6	American English Coonhound|English Coonhound|Redtick Coonhound	United States	https://www.ukcdogs.com/enlgish-coonhound
American Eskimo Dog	CB7	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=7	Eskie|Eskimo Spitz|American Spitz|German Spitz	Germany	https://www.ukcdogs.com/american-eskimo
American Foxhound	CB8	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=8	Foxhound|American Foxhound	United States	https://www.ukcdogs.com/american-foxhound
American Hairless Terrier	CB9	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=9	AHT|American Hairless Terrier	United States	https://www.ukcdogs.com/american-hairless-terrier
American Leopard Hound	CB10	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=10	American Leopard Hound|American Leopard Hound	United States	https://www.ukcdogs.com/american-leopard-hound-
